UUID,Artist,Track title,Album,Duration (milliseconds)
4faa1728-45ba-3cf3-8da5-6660f53bf766,Dark the Suns,Reflections,In Darkness Comes Beauty,257000
a0cb1886-7a03-3b1d-9d2a-7f39aad9e6c4,Dark Tranquillity,...Of Melancholy Burning,The Gallery [Deluxe Edition],376342
fe4a15f2-c96b-3175-84da-a8c5a86c95b3,Dark Tranquillity,Atoma,Atoma,259000
f899980d-498c-32a3-99d6-b80bb739f7ac,Dark Tranquillity,Auctioned,Projector,366000
8d141620-666d-38b7-82d5-fccb4efd8a22,Dark Tranquillity,Cathode Ray Sunshine,Damage Done [20 Years Anniversary Edition],254119
f566c3dd-f205-35af-9356-7fcd2f1f52b5,Dark Tranquillity,Constant,The Mind's I [Deluxe Edition],182228
6f710727-fd3e-3b4c-920d-137d62c4aef9,Dark Tranquillity,Cornered (Bonus Track),Haven [20 Years Anniversary Edition],238497
cc2e6dba-fa80-35b8-ad68-da27c9535bc7,Dark Tranquillity,Day To End,Projector [20 Years Anniversary Edition],188525
6b7b8e67-58de-33a9-ad45-6601b09b5e4f,Dark Tranquillity,Emptier Still,Haven [20 Years Anniversary Edition],219297
0f88087a-25f0-3606-b3ac-371bd86c544b,Dark Tranquillity,Emptier Still,Haven,219000
eea5f34f-3617-318e-9ca7-e701a90bf380,Dark Tranquillity,Freecard,Projector [20 Years Anniversary Edition],271830
99875263-aba4-3809-b792-9eba40c57595,Dark Tranquillity,Hedon,The Mind's I [Deluxe Edition],337368
ad605ff1-2236-316b-a2a9-081cfe8ae769,Dark Tranquillity,Her Silent Language,We Are The Void [Tour Edition],212654
4a58c28a-04a0-3d0d-847e-0035dee10509,Dark Tranquillity,Her Silent Language,We Are the Void,213000
6d39ac82-f846-3ce5-8fd3-548d7a118283,Dark Tranquillity,Hours Passed In Exile,Damage Done [20 Years Anniversary Edition],285779
07feb2fe-d51a-3e0d-932b-bab7388e5d02,Dark Tranquillity,Hours Passed In Exile,Damage Done,285000
f4fa7a77-244f-36ed-8eee-10c42247ab98,Dark Tranquillity,In My Absence,We Are The Void [Tour Edition],285428
7944322a-0218-36bc-b2cf-fbe58408e535,Dark Tranquillity,Insanity's Crescendo,The Mind's I [Deluxe Edition],411999
0a762406-a841-37fc-8a92-6ce6dbbe9018,Dark Tranquillity,Lethe,The Gallery [Deluxe Edition],282929
d61c4574-dde4-3bd6-a0e5-a575ff3bd8a0,Dark Tranquillity,Misery In Me (Bonus Track),Haven [20 Years Anniversary Edition],278909
8a9c5f6b-f608-3c17-a235-3aa962503389,Dark Tranquillity,Misery's Crown,Fiction [Expanded Edition],254119
9f94dcaf-2ea0-396e-8f5a-d9a6a4311a50,Dark Tranquillity,Monochromatic Stains,Damage Done [20 Years Anniversary Edition],217887
09605846-7c7d-3fea-88fc-9ed669688843,Dark Tranquillity,Not Built To Last,Haven [20 Years Anniversary Edition],217730
c85586e2-d77a-3dd7-8317-451335a9d4f3,Dark Tranquillity,Not Built to Last,Haven,217000
fea078d6-ebad-38ac-82cb-bfa4d71e3665,Dark Tranquillity,Not Built to Last,Haven,218000
2bf3ead4-47b7-32dd-b8c5-261d27182ab8,Dark Tranquillity,Punish My Heaven,The Gallery [Deluxe Edition],286978
914a9e72-3642-31b8-a8ef-bbd94e558d11,Dark Tranquillity,State Of Trust,Construct,246384
adfbf038-ff84-3e95-8309-0b9a4e3f62bc,Dark Tranquillity,Terminus (Where Death Is Most Alive),Fiction [Expanded Edition],264254
07bd930c-5f2c-38bc-a8ca-7bcbc385771f,Dark Tranquillity,The Grandest Acusation,We Are The Void [Tour Edition],295207
be85e84d-9c0c-3035-be51-77cb562e8a95,Dark Tranquillity,The Mundane And The Magic,Fiction [Expanded Edition],317675
7e73dd3e-4b77-3f63-bef1-dabd4a31c8d7,Dark Tranquillity,The Poison Well (Bonus Track),Damage Done [20 Years Anniversary Edition],246543
bbe82e77-0917-397b-ba6c-a1f1ea34cdc8,Dark Tranquillity,The Same,Haven,190000
ff420834-6fe5-3d08-be5a-e465074cc21a,Dark Tranquillity,The Treason Wall,Damage Done [20 Years Anniversary Edition],210703
c8315005-5634-3131-af18-5365f6a31446,Dark Tranquillity,The Treason Wall,Damage Done,210000
d90ce5a2-11c3-3eac-b48d-4d6c61196717,Dark Tranquillity,The Wonders At Your Feet,Haven [20 Years Anniversary Edition],181584
84e68d2d-744c-3346-855d-8c969c9fc65e,Dark Tranquillity,The Wonders at Your Feet,Haven,182000
0fce9efa-0bb8-3442-a9de-ab53c1c19ba3,Dark Tranquillity,Through Ebony Archways,Skydancer & Of Chaos Eternal Night [Reissue 1999],224337
a80f6319-26bc-3108-b8db-a8910356dbae,Dark Tranquillity,Tongues,The Mind's I [Deluxe Edition],293796
53f0071c-2be9-35a1-8449-dc2ad09a523f,Dark Tranquillity,Zodijackyl Light,The Mind's I [Deluxe Edition],239593
80dc953c-a276-3b70-818d-75ecfa42790b,Darkseed,Counting Moments,Diving Into Darkness,276666
6caf9972-b835-385d-8faf-44191aa41c27,Darkseed,Dancing With The Lion,Give Me Light,192062
e670c233-18e5-3649-8d1a-65ea84c9870f,Darkseed,Fall Whatever Falls,Spellcraft,260000
8268c04f-16bf-3f9b-911f-c48d8422ef47,Darkseed,Forever Darkness,Diving Into Darkness,322036
b4395505-2edb-32c8-946a-5ef797e82531,Darkseed,Self Pity Sick,Spellcraft,244000
6e4ee278-0793-37ae-9140-77ad09836c38,Darren Korb,The Spine,Transistor Original Soundtrack,194220
c4560515-0b41-385d-9c19-6667f70706d7,David Guetta,Baby When The Light (feat. Cozi) [Extended],Baby When The Light (feat. Cozi),360000
3f94128a-2952-3c16-bce1-4f442a93dd7c,David Guetta,Titanium (feat. Sia),Nothing But the Beat Ultimate,245000
8379cfdb-dc68-3101-bdad-cddd5da1d2b4,David Lanz,Big Sur,The Good Life,251212
afc83f8c-a661-31e3-8647-c7074f30fb38,Deadlock,Code Of Honor,Wolves,267000
35be94e9-16b0-3c63-a33d-318b8a8851c8,Delerium,After All (feat. Jaël of Lunik),Chimera,291000
415a1e53-2dea-33eb-b2f1-40f39e3e5045,Delerium,Fallen (feat. Rani),Chimera,230000
4531c8e8-9a0c-38c0-bcaa-e00c519eca80,Delerium,Forever After (feat. Sultana),Chimera,274000
1d2c6114-725f-3b8c-9d14-33af106d7fa3,Delerium,Returning (feat. Kristy Thirsk),Chimera,314000
17600726-32f5-39b3-8719-75723ddf4bca,Demons & Wizards,Fiddler On The Green,Demons & Wizards,356254
e41501df-cf63-3b03-977c-a018822238b0,Depeche Mode,Enjoy The Silence 2004,Remixes 81>04 (Special Edition) (3-CD Set),213000
7c5075f7-326b-314f-a074-b8a5e0565ede,Depeche Mode,Precious,Playing the Angel (Deluxe),250000
863c1546-d2f9-3929-893d-fbab43055759,Desireless,Qui peut savoir,François,230000
6749d9ec-b39f-3e56-a4db-f751de120850,Dido,Don't Think Of Me,No Angel,272000
17951b72-aec4-383b-a6bc-9aa43cbc6a2f,Dimmu Borgir,Perfection or Vanity,Puritanical Euphoric Misanthropia,216000
76b68bac-ed2f-3a38-b190-b00bcc8b51b9,Dire Straits,Money For Nothing,Brothers In Arms,510000
f8646688-d630-34e0-bbea-dbe77ba9ec17,Disarmonia Mundi,Mindtricks,Mind Tricks (Extended Version),232000
