UUID;Artist;Track title;Album;Duration (milliseconds)
8f88f8f8-cd7e-396f-93c4-a4963f5a0056;Chevry & Mebrouk;Joueur de dames;Joueurs de Dames;306233
9dd5764a-0141-3e7a-a201-4d95449358f5;Chicane;Lost You Somewhere;Far From The Maddening Crowds;507000
020f1de5-33a2-3aa2-9285-63b10d621469;Children Of Bodom;Children Of Decadence;Follow The Reaper;333164
9660a164-54c6-35c4-ad33-a3ff8f4a2334;Children of Bodom;Somebody Put Something in My Drink;Hate Crew Deathroll;200829
e208a43d-8f97-3825-8222-ec1ba3cbad31;Children of Bodom;Towards Dead End;Hatebreeder;307432
fb00c88f-9ce6-38fb-85ed-a04207a8b0b7;Cilver;I'm America;Not The End Of The World;222000
43202ec8-ee06-3ced-92e6-838fd16f0d19;Cirque Du Soleil;Pokinoo;Saltimbanco;309106
a08935a2-571a-3c5c-9f20-9d1550638d91;Coldplay;Speed Of Sound;X & Y;287000
97fe20e3-dc81-3695-8c84-113061d0a09e;Conjure One;Tears From The Moon (feat. Sinéad O'Connor);Conjure One;257000
20e6fd07-1e4e-3fc7-a1d2-9a8435d5cc77;Covenant;Bullet;Northern Light;302000
7221f3aa-a197-3f00-a2bd-ba0fa3a8eb42;Covenant;Call The Ships To Port;Northern Light;295000
70a9d2df-abb8-39cf-9d96-3131d7771824;Covenant;Invisible & Silent;Northern Light;278000
56f8a087-2203-34d7-82da-f9b77802e05d;Crematory;Awake;Act Seven;341146
daa34b0f-c8d5-32a4-8288-e51c99599d77;Crematory;Temple Of Love;Awake;284414
c2191464-86e5-329c-a56c-68525b6dc2e0;Crematory;Tears Of Time;Illusions;299078
142fa63b-7a7a-3196-907b-9e619744bf5c;Crematory;Nie Wieder;Klagebilder;253968
2a73655b-187a-3c21-959c-1a9948bd1cd1;Crematory;Die so Soon;Monument;265000
e82b2739-df8e-39cc-934d-ccb1a2a2cb34;Crematory;Ravens Calling;Monument;253000
2dae1483-d8c0-3cd5-8062-8bdc37f20ed0;Daft Punk;Around The World, Harder Better Faster Stronger;Alive 2007 CD1;341094
119d587e-1fa7-3438-acc8-e1da3762900a;Daft Punk;Aerodynamic;Discovery;206648
289af410-179c-34b8-9173-fec80d9caf80;Daft Punk;Harder, Better, Faster, Stronger;Discovery;223314
07bfb281-c7b9-36b3-8267-d3ad6b65c816;Daft Punk;Something About Us;Discovery;232670
72318362-a772-381f-be1c-012b8761dd81;Daft Punk;Around The World;Homework;427596
cd04618a-6167-3896-881a-a5436856bad1;Daft Punk;Around The World (Radio Edit);Musique Vol 1;241000
817e7986-9bc4-3f39-8e8b-fd1a4f61090b;Daft Punk;Get Lucky (Feat. Pharrell Williams);Random Access Memories (Japanese Edition);367900
4faa1728-45ba-3cf3-8da5-6660f53bf766;Dark the Suns;Reflections;In Darkness Comes Beauty;257000
fe4a15f2-c96b-3175-84da-a8c5a86c95b3;Dark Tranquillity;Atoma;Atoma;259000
914a9e72-3642-31b8-a8ef-bbd94e558d11;Dark Tranquillity;State Of Trust;Construct;246384
8d141620-666d-38b7-82d5-fccb4efd8a22;Dark Tranquillity;Cathode Ray Sunshine;Damage Done [20 Years Anniversary Edition];254119
6d39ac82-f846-3ce5-8fd3-548d7a118283;Dark Tranquillity;Hours Passed In Exile;Damage Done [20 Years Anniversary Edition];285779
9f94dcaf-2ea0-396e-8f5a-d9a6a4311a50;Dark Tranquillity;Monochromatic Stains;Damage Done [20 Years Anniversary Edition];217887
7e73dd3e-4b77-3f63-bef1-dabd4a31c8d7;Dark Tranquillity;The Poison Well (Bonus Track);Damage Done [20 Years Anniversary Edition];246543
ff420834-6fe5-3d08-be5a-e465074cc21a;Dark Tranquillity;The Treason Wall;Damage Done [20 Years Anniversary Edition];210703
07feb2fe-d51a-3e0d-932b-bab7388e5d02;Dark Tranquillity;Hours Passed In Exile;Damage Done;285000
c8315005-5634-3131-af18-5365f6a31446;Dark Tranquillity;The Treason Wall;Damage Done;210000
8a9c5f6b-f608-3c17-a235-3aa962503389;Dark Tranquillity;Misery's Crown;Fiction [Expanded Edition];254119
adfbf038-ff84-3e95-8309-0b9a4e3f62bc;Dark Tranquillity;Terminus (Where Death Is Most Alive);Fiction [Expanded Edition];264254
be85e84d-9c0c-3035-be51-77cb562e8a95;Dark Tranquillity;The Mundane And The Magic;Fiction [Expanded Edition];317675
6f710727-fd3e-3b4c-920d-137d62c4aef9;Dark Tranquillity;Cornered (Bonus Track);Haven [20 Years Anniversary Edition];238497
6b7b8e67-58de-33a9-ad45-6601b09b5e4f;Dark Tranquillity;Emptier Still;Haven [20 Years Anniversary Edition];219297
d61c4574-dde4-3bd6-a0e5-a575ff3bd8a0;Dark Tranquillity;Misery In Me (Bonus Track);Haven [20 Years Anniversary Edition];278909
09605846-7c7d-3fea-88fc-9ed669688843;Dark Tranquillity;Not Built To Last;Haven [20 Years Anniversary Edition];217730
d90ce5a2-11c3-3eac-b48d-4d6c61196717;Dark Tranquillity;The Wonders At Your Feet;Haven [20 Years Anniversary Edition];181584
0f88087a-25f0-3606-b3ac-371bd86c544b;Dark Tranquillity;Emptier Still;Haven;219000
c85586e2-d77a-3dd7-8317-451335a9d4f3;Dark Tranquillity;Not Built to Last;Haven;217000
fea078d6-ebad-38ac-82cb-bfa4d71e3665;Dark Tranquillity;Not Built to Last;Haven;218000
bbe82e77-0917-397b-ba6c-a1f1ea34cdc8;Dark Tranquillity;The Same;Haven;190000
84e68d2d-744c-3346-855d-8c969c9fc65e;Dark Tranquillity;The Wonders at Your Feet;Haven;182000
cc2e6dba-fa80-35b8-ad68-da27c9535bc7;Dark Tranquillity;Day To End;Projector [20 Years Anniversary Edition];188525
eea5f34f-3617-318e-9ca7-e701a90bf380;Dark Tranquillity;Freecard;Projector [20 Years Anniversary Edition];271830
f899980d-498c-32a3-99d6-b80bb739f7ac;Dark Tranquillity;Auctioned;Projector;366000
